"SmallMolecule","Cell","Time Point (hrs)","Concentration (μM)","Endpoint","Value","Gene Name"
"vinorelbine","PC-3","24","10","up regulation","10.407","CASP2"
"vinorelbine","PC-3","24","10","up regulation","8.84","CXCL2"
"vinorelbine","PC-3","24","10","up regulation","8.604","NARFL"
"vinorelbine","A549","24","10","up regulation","7.077","TLR4"
"vinorelbine","PC-3","24","10","up regulation","6.65","ABHD6"
"vinorelbine","VCaP","24","10","up regulation","5.763","KIF2C"
"vinorelbine","A549","24","10","up regulation","5.721","MOK"
"vinorelbine","A549","24","10","up regulation","5.586","FOSL1"
"vinorelbine","VCaP","24","10","up regulation","5.459","CDC25B"
"vinorelbine","VCaP","24","10","up regulation","5.444","BAG3"
"vinorelbine","VCaP","24","10","up regulation","5.411","CCNA2"
"vinorelbine","VCaP","24","10","up regulation","5.292","AURKA"
"vinorelbine","PC-3","24","10","up regulation","5.272","EPHB2"
"vinorelbine","A549","6","10","up regulation","5.13","BCL2"
"vinorelbine","A549","24","10","up regulation","5.106","RELB"
"vinorelbine","PC-3","24","10","up regulation","5.011","AURKA"
"vinorelbine","A549","6","10","up regulation","4.968","RELB"
"vinorelbine","A549","24","10","up regulation","4.914","SFN"
"vinorelbine","VCaP","24","10","up regulation","4.902","HMGCR"
"vinorelbine","MCF7","24","10","up regulation","4.841","RELB"
"vinorelbine","VCaP","24","10","up regulation","4.811","KIF20A"
"vinorelbine","PC-3","24","10","up regulation","4.668","IKBKE"
"vinorelbine","A549","6","10","up regulation","4.552","LAMA3"
"vinorelbine","PC-3","24","10","up regulation","4.438","HMGCS1"
"vinorelbine","PC-3","24","10","up regulation","4.413","KIF20A"
"vinorelbine","A549","6","10","up regulation","4.406","PTGS2"
"vinorelbine","A-375","6","10","up regulation","4.34","JUN"
"vinorelbine","MCF7","24","10","up regulation","4.309","NFKB2"
"vinorelbine","VCaP","24","10","up regulation","4.301","KIF14"
"vinorelbine","A-375","6","10","up regulation","4.279","SUV39H1"
"vinorelbine","A549","24","10","up regulation","4.19","NFATC3"
"vinorelbine","PC-3","24","10","up regulation","4.18","MYC"
"vinorelbine","PC-3","24","10","up regulation","4.079","GADD45A"
"vinorelbine","VCaP","24","10","up regulation","4.041","CENPE"
"vinorelbine","PC-3","24","10","up regulation","3.994","CDKN1A"
"vinorelbine","MCF7","24","10","up regulation","3.985","DUSP4"
"vinorelbine","A549","6","10","up regulation","3.902","PIH1D1"
"vinorelbine","A-375","6","10","up regulation","3.878","FHL2"
"vinorelbine","A549","24","10","up regulation","3.848","EPHB2"
"vinorelbine","VCaP","24","10","up regulation","3.732","CBR3"
"vinorelbine","PC-3","24","10","up regulation","3.729","PRKAG2"
"vinorelbine","A549","24","10","up regulation","3.715","CTNNAL1"
"vinorelbine","VCaP","24","10","up regulation","3.682","ABCC5"
"vinorelbine","A549","24","10","up regulation","3.605","CHERP"
"vinorelbine","VCaP","24","10","up regulation","3.592","CCNB1"
"vinorelbine","VCaP","24","10","up regulation","3.581","CFLAR"
"vinorelbine","A549","24","10","up regulation","3.581","CXCL2"
"vinorelbine","VCaP","24","10","up regulation","3.545","FDFT1"
"vinorelbine","PC-3","24","10","up regulation","3.538","INSIG1"
"vinorelbine","PC-3","24","10","up regulation","3.507","JMJD6"
"vinorelbine","A549","24","10","up regulation","3.474","SERPINE1"
"vinorelbine","PC-3","24","10","up regulation","3.442","JUN"
"vinorelbine","A549","24","10","up regulation","3.433","KIF14"
"vinorelbine","VCaP","24","10","up regulation","3.398","CCNF"
"vinorelbine","PC-3","24","10","up regulation","3.382","PTGS2"
"vinorelbine","A549","6","10","up regulation","3.328","MOK"
"vinorelbine","A549","6","10","up regulation","3.313","P4HA2"
"vinorelbine","A-375","6","10","up regulation","3.296","PDGFA"
"vinorelbine","VCaP","24","10","up regulation","3.28","SMC4"
"vinorelbine","MCF7","24","10","up regulation","3.269","NPC1"
"vinorelbine","A-375","6","10","up regulation","3.267","TXNRD1"
"vinorelbine","PC-3","24","10","up regulation","3.262","IER3"
"vinorelbine","PC-3","24","10","up regulation","3.246","TPM1"
"vinorelbine","PC-3","24","10","up regulation","3.244","TICAM1"
"vinorelbine","PC-3","24","10","up regulation","3.236","RELB"
"vinorelbine","PC-3","24","10","up regulation","3.236","FHL2"
"vinorelbine","A549","24","10","up regulation","3.216","EPB41L2"
"vinorelbine","PC-3","24","10","up regulation","3.208","MICALL1"
"vinorelbine","MCF7","24","10","up regulation","3.192","TPM1"
"vinorelbine","A549","24","10","up regulation","3.175","PRKAG2"
