"SmallMolecule","Cell","Time Point (hrs)","Concentration (μM)","Endpoint","Value","Gene Name"
"chloroquine","A673","6","10","up regulation","17.646","CDK6"
"chloroquine","AGS","6","10","up regulation","16.867","BTK"
"chloroquine","AGS","6","10","up regulation","15.983","HDGFRP3"
"chloroquine","A673","6","10","up regulation","15.597","HERC6"
"chloroquine","U-937","6","10","up regulation","15.229","SYNE2"
"chloroquine","SW-948","6","10","up regulation","11.292","FBXO11"
"chloroquine","AGS","6","10","up regulation","9.623","MLLT11"
"chloroquine","PC-3","24","10","up regulation","9.573","E2F2"
"chloroquine","A673","6","10","up regulation","9.136","FBXO11"
"chloroquine","A549","6","0.0015","up regulation","8.736","PPARD"
"chloroquine","A549","6","10","up regulation","8.57","CDKN1A"
"chloroquine","U-937","6","10","up regulation","8.239","ANO10"
"chloroquine","A549","6","0.0015","up regulation","8.208","PXMP2"
"chloroquine","SW-948","6","10","up regulation","7.991","KIF5C"
"chloroquine","AGS","6","10","up regulation","7.856","ME2"
"chloroquine","A549","6","0.0015","up regulation","7.771","ADCK3"
"chloroquine","A549","6","10","up regulation","7.714","SESN1"
"chloroquine","AGS","6","10","up regulation","7.204","CHMP6"
"chloroquine","A673","6","10","up regulation","7.039","CDH3"
"chloroquine","PC-3","6","10","up regulation","7.002","FBXO11"
"chloroquine","AGS","6","10","up regulation","6.774","CCNA1"
"chloroquine","PC-3","6","10","up regulation","6.713","MAPK13"
"chloroquine","AGS","6","10","up regulation","6.109","IKBKE"
"chloroquine","A673","6","10","up regulation","6.106","RBM6"
"chloroquine","A673","6","10","up regulation","5.787","GDPD5"
"chloroquine","A549","6","0.0015","up regulation","5.754","EPHB2"
"chloroquine","U-937","6","10","up regulation","5.753","ECD"
"chloroquine","A549","6","10","up regulation","5.744","DDB2"
"chloroquine","U-937","6","10","up regulation","5.73","LRRC16A"
"chloroquine","SW-948","6","10","up regulation","5.683","VAV3"
"chloroquine","SW-948","6","10","up regulation","5.218","MCOLN1"
"chloroquine","A673","6","10","up regulation","5.174","ERBB2"
"chloroquine","A549","6","10","up regulation","5.134","FAS"
"chloroquine","VCaP","6","10","up regulation","5.091","PPIC"
"chloroquine","HCC-15","6","10","up regulation","5.081","MAST2"
"chloroquine","A549","6","0.3704","up regulation","5.006","FBXO11"
"chloroquine","PC-3","6","10","up regulation","5.004","LYN"
"chloroquine","A673","6","10","up regulation","4.87","TLR4"
"chloroquine","PC-3","6","10","up regulation","4.799","ABL1"
"chloroquine","A673","6","10","up regulation","4.778","DDB2"
"chloroquine","A673","6","10","up regulation","4.691","SSBP2"
"chloroquine","U-937","6","10","up regulation","4.685","EPN2"
"chloroquine","A549","6","0.3704","up regulation","4.658","ZNF586"
"chloroquine","AGS","6","10","up regulation","4.653","TOR1A"
"chloroquine","AGS","6","10","up regulation","4.6","CFLAR"
"chloroquine","A673","6","10","up regulation","4.187","FOXO4"
"chloroquine","PC-3","24","10","up regulation","4.165","KIAA0355"
"chloroquine","AGS","6","10","up regulation","4.069","ZNF131"
"chloroquine","A549","6","3.33","up regulation","4.061","ZNF586"
"chloroquine","A549","6","10","up regulation","3.946","PMAIP1"
"chloroquine","AGS","6","10","up regulation","3.872","NOL3"
"chloroquine","A673","6","10","up regulation","3.84","RASA1"
"chloroquine","A673","6","10","up regulation","3.829","SYNGR3"
"chloroquine","A549","6","10","up regulation","3.761","SLC1A4"
"chloroquine","A673","6","10","up regulation","3.682","PLEKHJ1"
"chloroquine","AGS","6","10","up regulation","3.648","CCNH"
"chloroquine","PC-3","6","10","up regulation","3.639","TGFBR2"
"chloroquine","PC-3","24","10","up regulation","3.578","PAX8"
"chloroquine","PC-3","24","10","up regulation","3.506","RAB31"
"chloroquine","HCC-15","6","10","up regulation","3.5","ACLY"
"chloroquine","PC-3","6","10","up regulation","3.445","SESN1"
"chloroquine","PC-3","6","10","up regulation","3.415","CASP10"
"chloroquine","U-937","6","10","up regulation","3.41","KIAA0753"
"chloroquine","AGS","6","10","up regulation","3.303","GFOD1"
"chloroquine","U-937","6","10","up regulation","3.277","AKT1"
"chloroquine","SW-948","6","10","up regulation","3.238","CHP"
"chloroquine","AGS","6","10","up regulation","3.213","CISD1"
"chloroquine","AGS","6","10","up regulation","3.209","BMP4"
"chloroquine","PC-3","6","10","up regulation","3.207","STAT3"
"chloroquine","AGS","6","10","up regulation","3.145","IKBKB"
"chloroquine","PC-3","6","10","up regulation","3.142","PDIA5"
"chloroquine","A673","6","10","up regulation","3.124","KIAA0100"
"chloroquine","PC-3","24","10","up regulation","3.092","ABHD6"
"chloroquine","A549","6","0.0015","up regulation","3.081","ZNF274"
"chloroquine","AGS","6","10","up regulation","3.056","CAST"
"chloroquine","A549","6","3.33","up regulation","3.046","LYRM1"
"chloroquine","VCaP","6","10","up regulation","3.043","VAPB"
"chloroquine","AGS","6","10","up regulation","3.036","PRKCH"
"chloroquine","VCaP","6","10","up regulation","3.006","SNAP25"
"chloroquine","PC-3","6","10","up regulation","2.983","TCTN1"
"chloroquine","AGS","6","10","up regulation","2.972","HLA-DRA"
"chloroquine","U-937","6","10","up regulation","2.93","TIAM1"
"chloroquine","AGS","6","10","up regulation","2.917","FOS"
"chloroquine","VCaP","6","10","up regulation","2.909","CDK6"
"chloroquine","SW-948","6","10","up regulation","2.894","MAST2"
"chloroquine","PC-3","6","10","up regulation","2.887","PPIC"
"chloroquine","A549","6","10","up regulation","2.872","RALGDS"
"chloroquine","A549","24","10","up regulation","2.855","RAD51C"
"chloroquine","AGS","6","10","up regulation","2.848","CDH3"
"chloroquine","A549","6","0.3704","up regulation","2.846","TSEN2"
"chloroquine","SW-948","6","10","up regulation","2.803","IGF1R"
"chloroquine","U-937","6","10","up regulation","2.785","IKBKB"
"chloroquine","A549","24","10","up regulation","2.739","NGRN"
"chloroquine","AGS","6","10","up regulation","2.739","DNMT1"
"chloroquine","AGS","6","10","up regulation","2.737","POLR1C"
"chloroquine","AGS","6","10","up regulation","2.733","EML3"
"chloroquine","PC-3","6","10","up regulation","2.711","PIGB"
"chloroquine","AGS","6","10","up regulation","2.708","DDR1"
"chloroquine","U-937","6","10","up regulation","2.691","MBNL2"
"chloroquine","A673","6","10","up regulation","2.656","FCHO1"
"chloroquine","A549","6","10","up regulation","2.642","RPS6KA1"
"chloroquine","AGS","6","10","up regulation","2.642","NFATC4"
"chloroquine","A549","6","3.33","up regulation","2.641","CDKN1B"
"chloroquine","AGS","6","10","up regulation","2.626","CCL2"
"chloroquine","PC-3","6","10","up regulation","2.617","CYTH1"
"chloroquine","AGS","6","10","up regulation","2.612","PSMF1"
"chloroquine","A549","6","10","up regulation","2.602","MAP7"
"chloroquine","AGS","6","10","up regulation","2.594","WDR67"
"chloroquine","A549","6","0.3704","up regulation","2.581","RFC5"
"chloroquine","A549","6","10","up regulation","2.577","ABHD4"
"chloroquine","A549","6","10","up regulation","2.577","MICALL1"
"chloroquine","AGS","6","10","up regulation","2.555","ZNF589"
"chloroquine","A549","24","10","up regulation","2.553","RPL39L"
"chloroquine","AGS","6","10","up regulation","2.55","SPDEF"
"chloroquine","SW-948","6","10","up regulation","2.549","NOS3"
"chloroquine","AGS","6","10","up regulation","2.547","CRKL"
"chloroquine","AGS","6","10","up regulation","2.535","FAIM"
"chloroquine","SW-948","6","10","up regulation","2.522","WDR67"
"chloroquine","AGS","6","10","up regulation","2.507","NRAS"
"chloroquine","AGS","6","10","up regulation","2.496","SOX2"
"chloroquine","HCC-15","6","10","up regulation","2.496","ATG3"
"chloroquine","U-937","6","10","up regulation","2.491","RPS5"
"chloroquine","U-937","6","10","up regulation","2.481","BHLHE40"
"chloroquine","A673","6","10","up regulation","2.479","PAN2"
"chloroquine","A673","6","10","up regulation","2.478","CHAC1"
"chloroquine","SW-948","6","10","up regulation","2.46","PHKB"
"chloroquine","AGS","6","10","up regulation","2.455","KIAA0494"
"chloroquine","SW-948","6","10","up regulation","2.438","ANO10"
"chloroquine","A549","6","10","up regulation","2.424","LYRM1"
"chloroquine","SW-948","6","10","up regulation","2.421","RBKS"
"chloroquine","A549","6","3.33","up regulation","2.418","PDIA5"
"chloroquine","AGS","6","10","up regulation","2.417","STAP2"
"chloroquine","A549","6","10","up regulation","2.404","PHKB"
"chloroquine","AGS","6","10","up regulation","2.392","KAT6B"
"chloroquine","PC-3","6","10","up regulation","2.39","MAST2"
"chloroquine","AGS","6","10","up regulation","2.389","IL1B"
"chloroquine","AGS","6","10","up regulation","2.389","CHN1"
"chloroquine","A549","6","10","up regulation","2.372","LIG1"
"chloroquine","A549","24","10","up regulation","2.354","ATP5S"
"chloroquine","PC-3","6","10","up regulation","2.35","PLCB3"
"chloroquine","AGS","6","10","up regulation","2.33","IGFBP3"
"chloroquine","SW-948","6","10","up regulation","2.32","DENND2D"
"chloroquine","A549","6","3.33","up regulation","2.312","TPD52L2"
"chloroquine","AGS","6","10","up regulation","2.309","KIT"
"chloroquine","A549","6","0.0015","up regulation","2.297","PRKCD"
"chloroquine","A549","6","0.0015","up regulation","2.293","PRPF4"
"chloroquine","A549","6","0.3704","up regulation","2.287","LYRM1"
"chloroquine","A673","6","10","up regulation","2.282","DCUN1D4"
"chloroquine","VCaP","6","10","up regulation","2.278","USP6NL"
"chloroquine","A549","6","10","up regulation","2.273","GNPDA1"
"chloroquine","AGS","6","10","up regulation","2.273","CSNK2A2"
"chloroquine","AGS","6","10","up regulation","2.271","PLA2G4A"
"chloroquine","A549","6","3.33","up regulation","2.263","SLC35A3"
"chloroquine","AGS","6","10","up regulation","2.261","NARFL"
"chloroquine","AGS","6","10","up regulation","2.257","CALM3"
"chloroquine","AGS","6","10","up regulation","2.243","NFKBIB"
"chloroquine","AGS","6","10","up regulation","2.234","MKNK1"
"chloroquine","AGS","6","10","up regulation","2.23","TERT"
"chloroquine","AGS","6","10","up regulation","2.221","TBXA2R"
"chloroquine","A549","6","3.33","up regulation","2.213","EML3"
"chloroquine","A549","6","3.33","up regulation","2.196","RASA1"
"chloroquine","SW-948","6","10","up regulation","2.179","KIAA0494"
"chloroquine","A549","6","10","up regulation","2.179","ACBD3"
"chloroquine","A673","6","10","up regulation","2.16","PRR7"
"chloroquine","A673","6","10","up regulation","2.155","CPNE3"
"chloroquine","A549","6","10","up regulation","2.151","GADD45A"
"chloroquine","PC-3","24","10","up regulation","2.147","IKZF1"
"chloroquine","PC-3","6","10","up regulation","2.134","CHN1"
"chloroquine","A549","24","10","up regulation","2.128","CDCA4"
"chloroquine","A549","6","10","up regulation","2.121","OXA1L"
"chloroquine","U-937","6","10","up regulation","2.12","IKBKE"
"chloroquine","A549","6","3.33","up regulation","2.095","CCP110"
"chloroquine","A549","6","3.33","up regulation","2.093","SYNGR3"
"chloroquine","PC-3","6","10","up regulation","2.089","BMP4"
"chloroquine","A549","6","10","up regulation","2.088","DDIT4"
