"SmallMolecule","Cell","Time Point (hrs)","Concentration (μM)","Endpoint","Value",
"Taxol","SNB75","24","0.14","Cell cycle: percent G2-M arrested","100",
"Taxol","SNB75","24","0.41","Cell cycle: percent G2-M arrested","100",
"Taxol","SNB75","24","1.23","Cell cycle: percent G2-M arrested","100",
"Taxol","SNB75","72","0.01","Cell cycle: percent G2-M arrested","100",
"Taxol","SNB75","48","0.01","Cell cycle: percent G2-M arrested","100",
"Taxol","SNB75","24","0.01","Cell cycle: percent G2-M arrested","100",
"Taxol","SNB75","72","0.01","Cell cycle: percent G2-M arrested","100",
"Taxol","SNB75","48","0.01","Cell cycle: percent G2-M arrested","100",
"Taxol","SNB75","24","0.01","Cell cycle: percent G2-M arrested","100",
"Taxol","SNB75","24","3.7","Cell cycle: percent G2-M arrested","100",
"Taxol","SNB75","24","3.7","Cell cycle: percent G2-M arrested","100",
"Taxol","SNB75","24","0.02","Cell cycle: percent G2-M arrested","100",
"Taxol","SNB75","72","11.11","Cell cycle: percent G2-M arrested","100",
"Taxol","SNB75","24","11.11","Cell cycle: percent G2-M arrested","100",
"Taxol","SNB75","24","0.05","Cell cycle: percent G2-M arrested","100",
"Taxol","SNB75","24","33.33","Cell cycle: percent G2-M arrested","100",
"Taxol","SNB75","72","33.33","Cell cycle: percent G2-M arrested","100",
"Taxol","SNB75","24","33.33","Cell cycle: percent G2-M arrested","100",
"Taxol","SK-MES","24","1.23","Cell cycle: percent G2-M arrested","100",
"Taxol","SK-LMS-1","72","0.41","Cell cycle: percent G2-M arrested","100",
"Taxol","SK-LMS-1","72","0.41","Cell cycle: percent G2-M arrested","100",
"Taxol","SK-LMS-1","72","1.23","Cell cycle: percent G2-M arrested","100",
"Taxol","SK-LMS-1","48","1.23","Cell cycle: percent G2-M arrested","100",
"Taxol","SK-LMS-1","72","1.23","Cell cycle: percent G2-M arrested","100",
"Taxol","SK-LMS-1","48","0.01","Cell cycle: percent G2-M arrested","100",
"Taxol","SK-LMS-1","24","0.01","Cell cycle: percent G2-M arrested","100",
"Taxol","SK-LMS-1","48","0.02","Cell cycle: percent G2-M arrested","100",
"Taxol","SK-LMS-1","72","11.11","Cell cycle: percent G2-M arrested","100",
"Taxol","SK-LMS-1","72","11.11","Cell cycle: percent G2-M arrested","100",
"Taxol","SK-LMS-1","48","11.11","Cell cycle: percent G2-M arrested","100",
"Taxol","SK-LMS-1","72","0.05","Cell cycle: percent G2-M arrested","100",
"Taxol","SK-LMS-1","72","33.33","Cell cycle: percent G2-M arrested","100",
"Taxol","SK-LMS-1","72","33.33","Cell cycle: percent G2-M arrested","100",
"Taxol","SJCRH30","24","0.01","Cell cycle: percent G2-M arrested","100",
"Taxol","SJCRH30","24","0.01","Cell cycle: percent G2-M arrested","100",
"Taxol","SJCRH30","24","3.7","Cell cycle: percent G2-M arrested","100",
"Taxol","SJCRH30","24","11.11","Cell cycle: percent G2-M arrested","100",
"Taxol","SJCRH30","24","11.11","Cell cycle: percent G2-M arrested","100",
"Taxol","SJCRH30","24","33.33","Cell cycle: percent G2-M arrested","100",
"Taxol","SJCRH30","24","33.33","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H810","48","0.01","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H810","24","0.01","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H810","48","0.01","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H810","24","0.02","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","72","0.14","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","24","0.14","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","72","0.14","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","24","0.14","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","72","0.41","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","24","0.41","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","72","0.41","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","48","0.41","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","24","0.41","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","72","1.23","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","24","1.23","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","72","1.23","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","48","1.23","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","72","0.01","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","48","0.01","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","24","0.01","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","72","0.01","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","48","0.01","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","24","0.01","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","72","3.7","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","24","3.7","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","72","3.7","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","48","3.7","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","24","3.7","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","72","0.02","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","24","0.02","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","72","0.02","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","24","0.02","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","48","11.11","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","24","11.11","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","72","11.11","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","24","11.11","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","48","0.05","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","24","0.05","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","48","0.05","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","24","0.05","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","24","33.33","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1703","24","33.33","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1648","72","0.14","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1648","24","0.14","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1648","72","0.41","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1648","48","1.23","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1648","48","11.11","Cell cycle: percent G2-M arrested","100",
"Taxol","NCI-H1648","24","33.33","Cell cycle: percent G2-M arrested","100",
"Taxol","KYSE-180","72","0.14","Cell cycle: percent G2-M arrested","100",
"Taxol","KYSE-180","72","0.41","Cell cycle: percent G2-M arrested","100",
"Taxol","KYSE-180","48","0.01","Cell cycle: percent G2-M arrested","100",
"Taxol","KYSE-140","24","0.01","Cell cycle: percent G2-M arrested","100",
"Taxol","KYSE-140","72","33.33","Cell cycle: percent G2-M arrested","100",
"Taxol","KATO III","72","0.01","Cell cycle: percent G2-M arrested","100",
"Taxol","KATO III","72","3.7","Cell cycle: percent G2-M arrested","100",
"Taxol","IST-MEL1","72","0.14","Cell cycle: percent G2-M arrested","100",
"Taxol","IST-MEL1","24","0.14","Cell cycle: percent G2-M arrested","100",
"Taxol","IST-MEL1","72","0.14","Cell cycle: percent G2-M arrested","100",
"Taxol","IST-MEL1","48","0.14","Cell cycle: percent G2-M arrested","100",
"Taxol","IST-MEL1","72","0.41","Cell cycle: percent G2-M arrested","100",
"Taxol","IST-MEL1","24","1.23","Cell cycle: percent G2-M arrested","100",
"Taxol","IST-MEL1","24","0.01","Cell cycle: percent G2-M arrested","100",
"Taxol","IST-MEL1","24","0.02","Cell cycle: percent G2-M arrested","100",
"Taxol","IST-MEL1","48","0.02","Cell cycle: percent G2-M arrested","100",
"Taxol","IST-MEL1","24","0.02","Cell cycle: percent G2-M arrested","100",
"Taxol","IST-MEL1","72","33.33","Cell cycle: percent G2-M arrested","100",
"Taxol","IST-MEL1","72","33.33","Cell cycle: percent G2-M arrested","100",
"Taxol","IA-LM","48","0.14","Cell cycle: percent G2-M arrested","100",
"Taxol","HUTU-80","72","0.14","Cell cycle: percent G2-M arrested","100",
"Taxol","HUTU-80","24","0.14","Cell cycle: percent G2-M arrested","100",
"Taxol","HUTU-80","24","0.14","Cell cycle: percent G2-M arrested","100",
"Taxol","HUTU-80","24","0.41","Cell cycle: percent G2-M arrested","100",
"Taxol","HUTU-80","48","0.41","Cell cycle: percent G2-M arrested","100",
